Company ID ,Year ,Company name ,industry ,symbol ,No. of female on board ,female ratio,No. of independent directors ,board independence,check,equity + liabilities ,total assets ,total liability ,total equity ,Lev,FSIZE ,BSIZE ,ETR,,,,,,,,
17,2017,KOTMALE HOLDINGS PLC,FOOD BEVERAGE & TOBACCO,LAMB.N0000,0,0,2,33.3333333333333,0,"379,028,147","379,028,147","23,241,906","355,786,241",0.0653254772716183,19.7531210267798,6,0.0482634212758663,,,,,,,,
17,2018,KOTMALE HOLDINGS PLC,FOOD BEVERAGE & TOBACCO,LAMB.N0000,0,0,2,40,0,"375,702,871","375,702,871","18,679,969","357,022,902",0.052321486647935,19.7443091522504,5,0.620831761975281,,,,,,,,
18,2015,"	
LANKA ALUMINIUM INDUSTRIES PLC
",Materials,LALU.N0000,0,0,4,44.4444444444444,0,"1,953,961,000","1,953,961,000",1063503000,"890,458,000",1.19433257941419,21.3931244313095,9,0.176423221852182,,,,,,,,
18,2016,"	
LANKA ALUMINIUM INDUSTRIES PLC
",Materials,LALU.N0000,0,0,4,44.4444444444444,0,"2,314,775,000","2,314,775,000","1,319,993,000","994,782,000",1.32691685213444,21.5625783275365,9,0.238425781268778,,,,,,,,
18,2017,"	
LANKA ALUMINIUM INDUSTRIES PLC
",Materials,LALU.N0000,0,0,4,44.4444444444444,0,"2,739,505,000","2,739,505,000","1,536,046,000","1,203,459,000",1.27635922785903,21.7310430840917,9,0.27995057082484,,,,,,,,
18,2018,"	
LANKA ALUMINIUM INDUSTRIES PLC
",Materials,LALU.N0000,0,0,4,44.4444444444444,0,"2,753,533,000","2,753,533,000","1,528,320,000","1,225,213,000",1.24739126992613,21.7361506513417,9,0.329426897241675,,,,,,,,
19,2015,LANKA ASHOK LEYLAND PLC,Capital Goods,ASHO.N0000,0,0,2,33.3333333333333,0,"5,382,518,241","5,382,518,241","2,580,477,996","2,802,040,245",0.920928241699826,22.4064221761427,6,0.332671314056597,,,,,,,,
19,2016,LANKA ASHOK LEYLAND PLC,Capital Goods,ASHO.N0000,0,0,2,28.5714285714286,0,"5,693,726,520","5,693,726,520","2,745,484,892","2,948,241,628",0.931227910875967,22.4626307951441,7,0.318167116449822,,,,,,,,
19,2017,LANKA ASHOK LEYLAND PLC,Capital Goods,ASHO.N0000,0,0,2,28.5714285714286,0,"7,127,804,954","7,127,804,954","3,789,145,410","3,338,659,544",1.13493015986298,22.6872691633848,7,0.262233328655948,,,,,,,,
19,2018,LANKA ASHOK LEYLAND PLC,Capital Goods,ASHO.N0000,0,0,3,33.3333333333333,0,"6,009,108,905","6,009,108,905","2,695,479,670","3,313,629,235",0.81345240485241,22.5165423057818,9,0.0809697759754898,,,,,,,,4710701
20,2015,RENUKA AGRI FOODS PLC,Food Beverage & Tobacco,RAL.N0000,2,20,3,30,0,"2,935,802,108","2,935,802,108","545,839,741","2,389,962,367",0.228388425080168,21.8002465435197,10,0.158599955532142,,,,,,,,
20,2016,RENUKA AGRI FOODS PLC,Food Beverage & Tobacco,RAL.N0000,2,20,3,30,0,"3,480,059,464","3,480,059,464","824,917,633","2,655,141,831",0.310686842928204,21.9703152179431,10,0.06024240545246,,,,,,,,
20,2017,RENUKA AGRI FOODS PLC,Food Beverage & Tobacco,RAL.N0000,3,30,3,30,0,"3,427,580,015","3,427,580,015","807,920,741","2,619,659,274",0.308406802754304,21.9551203141319,10,0.295508531427108,,,,,,,,
20,2018,RENUKA AGRI FOODS PLC,Food Beverage & Tobacco,RAL.N0000,3,33.3333333333333,3,33.3333333333333,0,"3,576,513,966","3,576,513,966","753,078,715","2,823,435,251",0.266724273111372,21.9976544104401,9,0.151394175010971,,,,,,,,
21,2015,ROYAL PALMS BEACH HOTELS PLC,consumer services ,RPBH.N0000,1,7.69230769230769,7,53.8461538461539,0,"2,456,191,621","2,456,191,621",255734237,"2,200,457,384",0.116218672926592,21.6218778657676,13,0.145291735649383,,,,,,,,
21,2016,ROYAL PALMS BEACH HOTELS PLC,consumer services ,RPBH.N0000,1,7.69230769230769,7,53.8461538461539,0,"2,500,253,958","2,500,253,958",253169926,"2,247,084,032",0.112665980619634,21.6396581468613,13,0.103416873854564,,,,,,,,
